playername|playerid
Tanner Scheppers|10267.0
Scott Baker|6176.0
Jorge De Leon|5397.0
Josh Wall|4436.0
Miguel Batista|46.0
Edgar Gonzalez|1727.0
A.J. Achter|11387.0
Jason Isringhausen|1158.0
Edwar Cabrera|9211.0
Phil Klein|12675.0
Mike Wright|12586.0
Jared Hughes|9325.0
Nick Masset|7267.0
Edgar Olmos|10174.0
Casey Coleman|8270.0
Aaron Cook|1571.0
Jose Ortega|9651.0
Deunte Heath|7371.0
Joe Paterson|2565.0
Barry Enright|2412.0
Josh Roenicke|3241.0
Zach Miner|3193.0
Chris Narveson|2141.0
Craig Breslow|4363.0
Daniel Webb|10558.0
Dan Wheeler|120.0
Pedro Villarreal|9904.0
Andrew Bellatti|10657.0
Matt Barnes|12863.0
Phillippe Aumont|5362.0
Pedro Figueroa|6616.0
Michael Kohn|8505.0
Chris Schwinden|7851.0
Aaron Laffey|6248.0
Wei-Chung Wang|14382.0
Ryan Kelly|4858.0
Guillermo Moscoso|5106.0
Everett Teaford|3732.0
Edgmer Escalona|8574.0
Eduardo Sanchez|2966.0
Kip Wells|1012.0
Manny Acosta|8725.0
Michael Lorenzen|14843.0
Mike Zagurski|9683.0
Charlie Leesman|9124.0
Will Ohman|296.0
Alfredo Figaro|8404.0
Tyler Olson|14741.0
Miguel Almonte|14139.0
Ethan Martin|3877.0
Daniel Schlereth|8739.0
Ryan Tepera|10291.0
Kyle McClellan|4845.0
Brian Sanches|2739.0
R.J. Alvarez|13401.0
Joe Wieland|6109.0
Evan Meek|5109.0
Carlos Contreras|10386.0
Alec Asher|13560.0
Clayton Mortensen|3166.0
Hector Noesi|3292.0
Hector Ambriz|559.0
Eddie Butler|13453.0
Rhiner Cruz|711.0
Chuckie Fick|7978.0
Dario Alvarez|14239.0
Zac Rosscup|9419.0
Brett Myers|962.0
Pedro Hernandez|4578.0
Nate Adcock|3282.0
Brian Fuentes|429.0
Ramon Ortiz|27.0
Josh Lueke|5722.0
Shawn Camp|1855.0
B.J. Rosenberg|7183.0
Josh Lindblom|7882.0
Clay Hensley|4593.0
Joel Carreno|2746.0
Billy Buckner|8253.0
Philip Humber|8586.0
Tyler Robertson|3223.0
Manny Corpas|2807.0
Matt Reynolds|8887.0
Armando Galarraga|4222.0
Jair Jurrjens|5556.0
Maikel Cleto|5529.0
Jim Miller|7458.0
Chris Perez|5213.0
Josh Zeid|6527.0
Chien-Ming Wang|2074.0
Brooks Raley|10061.0
Mayckol Guaipe|11663.0
Mike Kickham|11618.0
Cody Martin|12182.0
Brandon Gomes|2267.0
Matt Stites|12165.0
Bill Bray|8538.0
Johnny Hellweg|10065.0
Logan Ondrusek|3677.0
Kirby Yates|9073.0
Matt Magill|3950.0
Matt Boyd|15440.0
Kevin Gregg|1793.0
Alex Sanabia|5350.0
Anthony Ranaudo|11424.0
Daniel Bard|7115.0
Sean O'Sullivan|9137.0
Brad Penny|535.0
Eric Surkamp|2540.0
Buck Farmer|14814.0
Livan Hernandez|1116.0
Bobby Cassevah|6950.0
Rafael Dolis|4185.0
Rob Scahill|9286.0
Francisco Cordero|1243.0
J.C. Ramirez|8302.0
Frank Garces|13144.0
David Carpenter|9244.0
Collin Balester|6883.0
Jeff Gray|7718.0
Chad Durbin|1442.0
Alfredo Aceves|5164.0
Scott Oberg|13911.0
Henry Rodriguez|6371.0
Nick Blackburn|4270.0
Dustin McGowan|8600.0
Zach Stewart|7397.0
Dylan Axelrod|9303.0
Alex Hinshaw|3941.0
Curtis Partch|1333.0
Joe Beimel|979.0
David Aardsma|1902.0
Allen Webster|3993.0
Carlos Marmol|2790.0
Bryan Morris|10234.0
Ian Krol|10066.0
Joel Hanrahan|2186.0
Andre Rienzo|3507.0
Robert Carson|2570.0
Kameron Loe|4422.0
Jonathan Sanchez|7507.0
Paul Clemens|8037.0
Jason Marquis|105.0
David Holmberg|7725.0
"Kenta Maeda|||||||||||||||||||18498"|
Rubby De La Rosa|3862.0
TBD|
Nathan Karns|12638.0
Jonathon Niese|4424.0
Colin McHugh|7531.0
Kenta Maeda|18498.0
Jake Petricka|10534
Chasen Shreve|10855
Christian Bergman|10925
Joe Nathan|1122
Aaron Barrett|11243
Bryan Holaday|11287
Drew Pomeranz|11426
Justin Grimm|11720
Hansel Robles|11801
Brian Flynn|12027
Blake Treinen|12572
Andrew Chafin|12988
Wei-Yin Chen|13071
Paco Rodriguez|13398
Nick Hagadone|1351
Keone Kela|14696
Eric Farris|2066
Jean Machi|3220
Jordan Walden|3271
Guilder Rodriguez|3412
Ricky Nolasco|3830
Casey Fien|3926
Edward Mujica|3970
David Hernandez|4259
Manny Parra|4279
Josh Johnson|4567
Donnie Veal|4741
Elliot Johnson|4751
Matt Shoemaker|4776
Brock Peterson|4984
Jake Diekman|5003
Brad Peacock|5401
Pedro Baez|5420
Ryan Roberts|5653
Eric O'Flaherty|5746
Jeremy Affeldt|583
Danny Salazar|5867
Brent Morel|6402
Steve Cishek|6483
Andrew Miller|6785
Chase Anderson|6895
Jake Elmore|7290
Jake Mcgee|7550
Shawn Kelley|7773
Bryan Price|8436
Manny Acosta|8725
Tim Hudson|921
Alex Wilson|9239
Blake Lalli|9246
Ryan Wheeler|9312
Tom Wilhelmsen|9975
Juan Alvarez|sa200944
Juan Ciriaco|sa226165
Ralph Henriquez|sa290179
Jeremy Barfield|sa327073
Loek Van Mil|sa328812
Nate Samson|sa331346
Matt Kennelly|sa390294
Jordan Lennerton|sa455610
Buck Britton|sa455619
Ryan Schimpf|sa501472
Wes Darvill|sa501490
John Mincone|sa501666
Nelfi Zapata|sa502056
Terrence Dayleg|sa502108
Michael Heller|sa502414
James Robbins|sa502680
Robert Benincasa|sa502783
Andrew Aplin|sa502787
Gustavo Pierre|sa503319
Maxx Tissenbaum|sa503525
Alfredo Gonzalez|sa505301
Oliver Garcia|sa506286
Raul Navarro|sa506772
Eudy Pina|sa506909
Jesus Galindo|sa506980
Justin Toole|sa507054
Luis Rodriguez|sa508210
Manuel Baez|sa509129
Brock Stassi|sa526362
Micah Gibbs|sa526442
Tom Belza|sa526826
Jacob Stallings|sa526927
Danny Oh|sa546797
Cristian Paulino|sa547810
Diego Cedeno|sa548110
Wendell Soto|sa548269
David Rohm|sa548456
Kelson Brown|sa549293
Kramer Sneed|sa549965
Nicholas Sawyer|sa550042
John Franco|sa550147
Matt Newman|sa577013
Cameron Seitzer|sa578022
Eric Eadington|sa578236
Mike Marjama|sa580435
Jose Salazar|sa596025
Yordi Calderon|sa596034
Diomedes Eusebio|sa597097
Angelo Mora|sa597177
Carlos Torres|sa597191
Pedro Perez|sa597323
Jesus Paredes|sa597886
Jonathan Schwind|sa598663
Wes Wilson|sa598772
Joe Church|sa599528
Mason Radeke|sa599737
Chris Mariscal|sa600255
Jimmy Pickens|sa602593
Philip Pfeifer|sa602699
Wes Benjamin|sa602914
Preston Beck|sa621361
J.T. Watkins|sa621537
Eduardo Jimenez|sa655954
Gregory Valencia|sa657395
Rafael Valera|sa657593
Jose Chavez|sa657706
Luis Hernandez|sa657707
Jean Lara|sa657741
Dylan Baker|sa658002
Andrew Patterson|sa658101
River Stevens|sa658130
Taylor Hawkins|sa658198
Brock Hebert|sa658259
Bruce Caldwell|sa658271
Ronald Pena|sa658287
Hunter Adkins|sa658401
Francisco Gracesqui|sa659316
Ozzie Liranzo|sa659449
Juan Torres|sa659946
Galli Cribbs|sa708444
Colby Suggs|sa709543
Cole Sturgeon|sa709546
Tucker Nathans|sa732567
Dan Fiorito|sa732908
Jesus Paricaguan|sa735887
Andys Silva|sa736692
Jose Morles|sa736741
Ramon Reyes|sa736751
Yeison Medina|sa736868
Darwin Pena|sa736918
Luiz Escanio|sa737039
Angel Genao|sa737199
Ramy Perez|sa737250
Bryan Tejeda|sa737261
Dylan Stamey|sa737948
Trae Santos|sa738161
Zach Mathieu|sa738163
Matthew Whitehouse|sa738202
Ryan Lindemuth|sa738231
Justin Maffei|sa738359
Wagner Ramirez|sa738491
Max Watt|sa738694
Thomas Collins Iii|sa739659
Yael Regalado|sa739764
Brady Feigl|sa824867
Tucker Tubbs|sa827145
Estarly Cedeno|sa828455
Jose Quijada|sa828494
Jose Sotillo|sa828497
Javier Agelvis|sa828709
Angel Suero|sa828848
Corey Holmes|sa829267
Garrett Mundell|sa829279
Tyler Palmer|sa829280
Jaime Ayende-Morales|sa829292
Alec Sole|sa829320
Michael Thomas|sa829485
Salvatore Giardina|sa829575
Carter Burgess|sa829582
Jared West|sa829607
Brandon Gildea|sa829728
Mayky Perez|sa829767
Ivan Medina|sa830138
Chris Harvey|sa831855
Jake Gronsky|sa836176
Jose Cano|sa836650
Nick Rodesky|sa837927
Alvaro Rondon|sa838027
Saul Martinez|sa842847
Travis Bergen|sa856186
P.J. Conlon|sa857544
Marcus Brakeman|sa857669
Gonzalo Ochoa|sa871495
Saury Aybar|sa872574
Daniel Cedeno|sa873305
Travis Lakins|sa873678
Jacob Taylor|sa874192
Kolby Allard|sa874245
Taylor Clarke|sa874810
Anthony Guardado|sa874998
Josh Altmann|sa875314
Juandy Mendoza|sa875369
Octavio Arroyo|sa875399
Corey Hale|sa875886
Christian Turnipseed|sa875899
Hunter Barnett|sa876152
Tyler Watson|sa876164
Tomy Arias|sa878784
Martin De Los Santos|sa879561
Robert Rodriguez|sa884628
Anthony Marzi|sa884740
Yeral Gomez|sa885985
Robin Ventura|sa885997
Sandro Rosario|sa886966
Juan Florentino|sa886971
Ryne Frankoff|sa887456
Vadim Balan|sa889181
Oliber Guzman|sa892806
Drew Smith|sa875018
Taylore Cherry|sa876080
Ryan Horstman|sa737780
Melvin Morel|sa828584
Victor Concepcion|sa827971
Ariel Ovando|sa599390
Jason Freeman|sa878814
Ismael Cabrera|sa828835
Jordan Stephens|sa875031
Lance Mccullers|14120
Richard Mcwilliams|sa875795
Brandon Koch|sa829646
Dietrich Enns|sa579749
Xavier Borde|sa876274
Luigence Thomas|sa830156
Ranger Suarez|sa659551
Wilmer Torres|sa879448
Keegan Long|sa875972
Orlando Pascual|sa883761
Alex Palsha|sa829433
Tommy Milone|7608
Anderson Nunez|sa838073
Anthony Chavez|sa548084
Angel Vasquez|sa597473
Mason Felt|sa657999
Heath Slatton|sa875770
Ryan Dull|13974
Nick Anderson|sa578957
Triston Mckenzie|sa874760
Antonio Santos|sa881171
Rafael Cedeno|sa737031
Kyle Kubat|sa827380
Ryan Kelly|4858
Andrew Thome|sa827462
Kevin Quackenbush|12360
Stephan Meyer|sa875772
Kyle Grana|sa739757
Preston Morrison|sa827432
Oliver Drake|8823
Josh Pennington|sa829654
Luis Aquino|sa657752
Brody Greer|sa747416
Brandon League|3731
Victor Marte|5158
Ljay Newsome|sa875837
Jacob Bray|sa738576
Bradley Kuntz|sa877529
Rafael Soriano|1100
Caleb Dirks|sa829346
Cody Hamlin|sa877932
Michael Broadway|9894
Jake Odorizzi|6397
Sergio Sierra|sa826043
Doug Fister|9425
Erbert Gonzalez|sa829868
Cody Ege|sa738148
Tyler Alexander|sa738285
Jacob Dorris|sa827396
Mark Lowe|7416
Abdallah Aris|sa871772
Dillon Tate|sa874239
Justin Maese|sa875002
Gabe Hemmer|sa829537
Luke Harrison|sa876214
Juan Rodriguez|sa737076
Andrew Triggs|sa549679
Joe Thatcher|4620
Josh Outman|4004
Jeffrey Johnson|sa598064
Williams Ramirez|sa739056
Domenic Mazza|sa875342
Ryan Tepera|10291
Jairo Caba|sa876816
Ryan Burr|sa658938
Raul Pedie|sa657554
Jose Dominguez|sa873199
Riley Ferrell|sa874967
Thomas Lebron|sa873715
Michael Tonkin|10315
Darwinzon Hernandez|sa828318
Logan Allen|sa875192
Resly Linares|sa873296
Pedro Payano|sa658997
Chris Capuano|1701
Kory Groves|sa876163
Scott Oberg|13911
Jumbo Diaz|3397
Sam Freeman|6832
Ryan Webb|7474
Corbin Hoffner|sa658274
Brandon Hinkle|sa829693
Steven Farnworth|sa829337
Andrew Schwaab|sa857571
Williams Perez|11592
Joshua Lucas|sa503340
Michael Freeman|sa875187
Freddery Arias|sa657782
Alex Torres|7038
Matthew Clancy|sa872718
Misael Familia|sa830866
Bubby Derby|sa875183
Jacob Lindgren|16215
Trevor Frank|sa737842
Brody Koerner|sa875744
Jon Edwards|1483
Deolis Guerra|8410
David Richardson|sa549266
Jose Morban|sa885669
Anderson Espinoza|sa872856
Reimin Ramos|sa875857
Enosil Tejeda|sa547857
Johan Juan|sa741938
Jay Flaa|sa875184
Geoff Degroot|sa827331
Yorman Landa|sa597276
Matt Ditman|sa829349
Erik Cordier|4086
James Pazos|13323
Joseph Pistorese|sa602696
Alex Young|sa658917
Ramon Garcia|sa828489
Timothy Ingram|sa876062
Jorge Marban|sa559797
Josh Osich|11528
Ramon Tineo|sa828373
Jose Jose|sa506778
Sergio Velis|sa656037
Charlie Morton|4676
Adam Reifer|sa389398
Zac Curtis|sa829023
Andro Cutura|sa827476
Zack Erwin|sa857605
Daniel Gibson|sa549733
Michael Petersen|sa658475
Jordan Brink|sa829003
Hisashi Iwakuma|13048
Michael Schaub|sa550069
Jean Carlos Mejia|sa830122
Montana Durapau|sa829611
Victor Diaz|sa872865
Phil Maton|sa875251
Matt Custred|sa876065
Junior Marte|sa829900
Victor Ramirez|sa657830
Johan Diaz|sa829920
Alexis Diaz|sa875576
Mike Estevez|sa876812
Dave Berg|sa187614
Felix Tati|sa828538
Radhames Liz|5843
Gabriel Giron|sa828736
Chad Girodo|sa737873
Blake Snell|sa597786
Leonardo Crawford|sa872530
Corey Walter|sa829586
Miguel Yajure|sa873213
Brian Bass|sa879638
Steve Delabar|11827
Cody Winiarski|sa599873
David Rollins|11928
Kuo Hua Lo|sa659189
Ryan Brinley|sa875871
Jose Casilla|sa456056
Malvin Martinez|sa737461
David Oca|sa737045
Carlos Luna|sa828727
Joe Jimenez|sa740519
Patrick Francescon|sa599399
Nick Monroe|sa875292
Steve Naemark|sa876168
Steiner Carmona|sa829915
Randy Marte|sa873329
Hengerber Medina|sa659366
Scott Atchison|2642
Nick Masset|7267
Jenrry Mejia|8476
Tanner Roark|8753
Anthony Fernandez|sa503582
Omar Bencomo|sa503950
Christopher Garcia|sa738485
Corey Taylor|sa827144
Francisco Constanzo|sa882817
Cameron Hill|sa829228
Nick Neidert|sa874797
Greidy Martinez|sa828447
Yoanys Quiala|sa876861
Cortland Cox|sa738518
Pierce Romero|sa875216
Jordan Humphreys|sa875762
Koby Gauna|sa829284
Matt Cooper|sa829187
Jeifry Nunez|sa873542
Yankory Pimentel|sa659446
Jefry Yan|sa828460
Carlos Diaz|sa657847
Cristian Mota|sa828970
Miguel Gonzalez|sa657899
Nick Goody|13685
Luis Mateo|sa597557
Henderson Alvarez|5669
Carlos Rodriguez|sa656040
Tucker Simpson|sa827480
Wily Peralta|7738
David Speer|sa827385
Silvino Bracho|15051
Jesus Tejada|sa873458
Sam Tuivailala|13485
Andrew Suarez|sa598260
Aronny Cruz|sa828741
Carlos Fisher|9832
Brad Markey|sa659004
Beau Burrows|sa874682
Brian Schlitter|3599
Luis Rivero|sa879344
Juan Gonzalez|sa504209
Randy Perez|sa657686
Elio Silva|sa872820
Jonas Wyatt|sa875171
Connor Bennett|sa876135
Jairo Rosario|sa737244
Ricardo Castro|sa880282
Andrew Lee|sa856275
Stephen Moore|sa875264
Keinter Olivares|sa881441
Will Morris|sa738332
Hector Perez|sa873324
Reinier Roibal|sa553503
Colby Blueburg|sa830501
Kevin Grendell|sa658164
Adonis Figuera|sa871484
Mike Franco|sa829140
Trevor Hildenberger|sa829460
Matt Boyd|15440
Nicolas Debora|sa688946
Javier Garcia|sa872843
Miguel Vargas|sa828585
Andrew Jordan|sa875613
Luis Jimenez|sa660407
Brock Hartson|sa857665
Hunter Strickland|7836
Cerilio Soleana|sa872823
Gray Fenter|sa875233
Max Cordy|sa876169
Adolfi Telleria|sa736947
Spencer Patton|12361
Cameron Griffin|sa738927
Alex Smith|sa659361
Joey Denato|sa621650
Will Clinard|sa577715
Cameron Smith|sa876229
Carlos Hernandez|sa828356
Marcos Mateo|6869
Louis Coleman|9720
Humberto Mejia|sa873725
Bo Schultz|5028
Timothy Peterson|sa658510
Dauri Moreta|sa877619
Jared Lakind|sa549657
Justin Donatella|sa875616
Wilking Rodriguez|8801
Clayton Richard|3551
Dean Deetz|sa829001
Nicholas Hibbing|sa602646
Reece Karalus|sa873637
Thomas Mcilraith|sa875253
William Strode|sa857589
Cody Mobley|sa875203
NIck Duron|sa876053
Robert Suarez|sa869798
Robert Strader|sa875599
Giovanny Gallegos|sa659493
Rafael Encarnacion|sa828543
Carlos Diaz|sa597196
Grant Watson|sa875680
Ruben Ventura|sa873425
Mychal Givens|10430
Dayan Diaz|sa549700
Enmanuel De Jesus|sa828317
Bruce Chen|769
Nate Jones|4696
Addison Reed|10586
Ervin Santana|3200
Aaron Myers|sa202991
Paul Sewald|sa658150
Wendell Floranus|sa657787
Cody Carroll|sa875338
Alejandro Felix|sa877309
Gunnar Kines|sa876241
Taylor Lewis|sa829839
Juan Rengifo|sa830691
Luis Amaya|sa872809
David Carpenter|9244
Ryan Buchter|9456
Ryan Newell|sa658029
James Naile|sa875263
Chance Adams|sa875066
Max Schuh|sa829132
Johan Belisario|sa546553
Carter Capps|12803
Wandy Rodriguez|2586
Leobardo Moreno|sa185282
Alejandro Flores|sa601619
Brayan Serrata|sa657793
Kody Kerski|sa827378
Luis Ortiz|sa828677
Cole Plouck|sa829223
Jesus Arroyo|sa830635
Gilmael Troya|sa872841
Koda Glover|sa875213
Juan Robles|sa873226
Warlyn Guzman|sa874462
Andrew Bailey|1368
Zach Hartman|sa877530
Oderman Rocha|sa547361
Pat Venditte|7108
Yonny Chirinos|sa735855
Scott Rice|2743
Julian Aybar|sa872835
Francys Peguero|sa748442
Alvaro Galindo|sa873333
Noah Syndergaard|11762
Adrian Navas|sa735851
Tony Cingrani|12555
Cristian Alvarado|sa657885
Tanner Scheppers|10267
Manuel Rodriguez|sa827607
Robert Tasin|sa875784
Taylor Guerrieri|sa597787
Edwin Fierro|sa652170
Kendall Graveman|15514
Nathan Foriest|sa876204
Brian Miller|sa827168
Pedro Brito|sa830145
Jonny Drozd|sa833561
Eriberto Garcia|sa828428
Wil Browning|sa657837
Matt Kent|sa875610
Jose Veras|sa737051
Abraham Rivera|sa737371
Claudio Marquez|sa824920
Jeison Medrano|sa877876
Luis Pino|sa683316
Anthony Sequeira|sa875360
Freddy Zorrilla|sa659413
Breiling Eusebio|sa828552
Joe Musgrove|sa597766
Michael Lorenzen|14843
Yei Almonte|sa740609
Gentry Fortuno|sa875764
Justin Garcia|sa738904
Gabriel Lima|sa829897
Cody Anderson|12799
Alexander Figueredo|sa873438
Justin Miller|8580
Garrett Cortright|sa739011
Domingo Acevedo|sa739716
Randolph Perez|sa741490
Kyle Regnault|sa526832
Ryan Meisinger|sa875592
Isaac Anderson|sa738925
Alberto Baldonado|sa550649
Damien Magnifico|sa501481
Vince Velasquez|11189
Jose Morel|sa657746
Jordan Smith|sa709167
Tomas Leoncio|sa739263
Trey Teakell|sa827438
Michael Boyle|sa857604
Jacob Faria|sa598097
Ronny Carvajal|sa737030
Andy De La Cruz|sa737203
Dalton Geekie|sa875332
Jose Ramos|sa828308
Scott Mcgough|12056
Euclides Leyer|sa551004
Gabriel Moya|sa658468
Luis Castillo|sa657838
Nolan Long|sa659265
Erasmo Pinales|sa795280
Tyler Brashears|sa875679
Jered Weaver|4235
Oberdan Diaz|sa656053
Mat Latos|3815
Erling Moreno|sa827076
Alan Guerrero|sa508084
Willy Ortiz|sa701548
Jacob Shortslef|sa875810
Tyler Bremer|sa550011
Colin Rea|12317
Justin Ferrell|sa829707
Ben Rowen|10983
Luke Weaver|sa599729
Tucker Healy|sa621510
Alejandro Vargas|sa657807
Dana Eveland|5508
Dan Otero|7385
Daniel Gonzalez|sa871449
Jacob Dahlstrand|sa548492
Carson Fulmer|sa658272
Raudel Lazo|14077
Jake Walsh|sa738954
Ender Gonzalez|sa871935
Maximo Valerio|sa657797
Gustavo Armas|sa833631
Pedro Silverio|sa749438
Luis Pena|sa876967
Donnie Hart|sa738384
Diogenes Almengo|sa835215
Tyler Mizenko|sa577659
Michael Smith|sa738590
Ethan Carnes|sa738720
Ismael Brito|sa546462
Junior Garcia|sa737032
Agapito Barrios|sa597075
Tate Scioneaux|sa857686
Emmanuel Clase|sa873427
Argenis Rodriguez|sa737483
Edwar Garcia|sa597265
Chandler Hawkins|sa876115
Jeff Manship|6865
Yapson Gomez|sa737676
Rafael Perez|4078
Wei-Chieh Huang|sa872084
Jacob Turner|10185
Phillip Ortiz|sa740962
Shawn Clowers|sa878648
Adam Quintana|sa883461
Tyler Rogers|sa739036
Jacob Waguespack|sa659056
Adam Loewen|2134
Moises Ramirez|sa736510
Ryan Deemes|sa876232
Ryan Helsley|sa874172
Stephen Gonsalves|sa737764
Phil Bickford|sa737441
Josh Kimborowicz|sa738307
Aneuris Rosario|sa828343
Jose Alcantara|sa877820
Yeizer Marrugo|sa635431
Edgardo Sandoval|sa830035
Franklyn Soriano|sa875873
Oscar Marcelino|sa830623
Mario Zapari|sa504956
Blake Mcfarland|sa598555
Carlos Marmol|2790
Mark Mccoy|sa658793
Eugenio Palma|sa829746
Gage Smith|sa709581
Francis Martes|sa736839
Adbert Alzolay|sa735853
Raul Jacobson|sa887976
Ryne Harper|sa599485
Kyle Farnsworth|278
Yohailys Millord|sa739521
Will Carter|sa829689
Clint Terry|sa659044
Luis Ayala|1650
Chris Smith|sa826587
Steven Matz|13361
Akeel Morris|12185
Felix Santiago|sa737041
Rodolfo Aguilar|sa542044
Nestor Ramirez|sa873160
Kyle Barraclough|13713
Brandon Peterson|sa737943
Dustin Richardson|2548
Craig Schlitter|sa709582
Jonathan Padilla|sa830225
Pedro Vasquez|sa872824
Andrew Moore|sa874809
Deiyerbert Bolivar|sa828545
J.P. Feyereisen|sa829227
Charles Brewer|9155
Oddy Nunez|sa874248
Jacob Bodner|sa875866
Amauri Sanit|5436
Fred Lewis|sa549581
Hector Jimenez|sa828261
Kyle Kinman|sa829388
Lachlan Wells|sa877857
Pedro Echemendia|sa877307
Rodrigo Benoit|sa747275
Vinnie Pestano|4782
Yeudy Garcia|sa828169
Michael Dimock|sa526011
Sam Street|sa829233
Nickolas Sarianides|sa502369
Paul Voelker|sa829176
Chase Whitley|10982
Luis Hernandez|sa737038
Daniel Poncedeleon|sa549749
Pedro Avila|sa872768
Alex Burgos|sa548431
Fernando Caro|sa873426
Ian Gibaut|sa857671
Cristian Javier|sa874816
Mark Reyes|sa602813
Brooks Pounders|sa500804
Adrian Guzman|sa655012
Henry Garcia|sa832778
Ryan Gorton|sa579845
Estalin Tejada|sa877871
Lucas Irvine|sa550186
Cody Poteet|sa658640
Dylan James|sa880565
Wennigton Romero|sa873220
Keith Hessler|12220
Anthony Misiewicz|sa874099
Paul Paez|sa658338
Miguel Aguilar|sa654743
Pedro Rodriguez|sa528296
Yanuel Cuevas|sa683733
Pete Kelich|sa738910
Marlon Constante|sa873298
Whit Mayberry|sa829299
Scott Effross|sa857667
Preston Guilmet|7303
Zach Morris|sa856278
Jandel Gustave|sa550624
Evan Meek|5109
Eudis Hidrogo|sa656048
Terry Doyle|sa392100
Garrett Cleavinger|sa827423
Ryan Williams|sa829137
Starling Peralta|sa508753
Francisco Mendoza|sa506029
Yordy Cabrera|sa548243
Franyel Casadilla|sa828384
Kyle Mcgrath|sa829726
Junior Lopez|sa830366
Jairo Munoz|sa604117
Tyler Ford|sa829448
Diomar Lopez|sa828277
Casey Bloomquist|sa875732
Diego Moreno|6238
Jesus Rodriguez|sa871769
Joel Espinal|sa873200
Manny Banuelos|5365
Arturo Barradas|sa328589
Adam Choplick|sa598307
Chris Paddack|sa875195
Fernando Escarra|sa507252
Duane Below|3124
Jose Solano|sa880280
Ken Figueroa|sa827250
Carlos Indriago|sa735847
David Huff|4257
Joseph Maher|sa602541
Keegan Yuhl|sa829658
Winston Lavendier|sa876120
Heath Hembree|11632
Alexander Katz|sa827486
Brian Hunter|sa829173
Blake Mcknight|sa738934
Caleb Cotham|10075
Jhon Peluffo|sa828540
Collin Balester|6883
Miguel Diaz|sa657924
Geovanny Acosta|sa828291
Carlos Espinal|sa872567
Brandon Show|sa829831
Mike Wright|12586
Carlos Garcia|sa657902
Jorge Rondon|5791
Logan Kensing|6166
Michael Jensen|sa599280
Scott Griggs|sa502935
Mitch Gueller|sa657870
Elvin Liriano|sa597228
Wilmer Rios|sa830629
Jeong-Hyeon Yoon|sa843255
Jhon Martinez|sa737095
Jose Mesa|sa658593
Caleb Thielbar|10078
Tyler Mapes|sa603121
Matt Hockenberry|sa829157
Michael Fulmer|sa597764
Michael Heesch|sa658112
Rob Kaminsky|sa737532
Tyler Wagner|13796
Danny Duffy|3542
Tyler Chatwood|4338
Brent Leach|4576
Jared Burton|8346
Jeff Bianchi|9958
Murilo Gouvea|sa455700
Luis Morales|sa546523
Dillon Moyer|sa549574
Kevin Gadea|sa735841
Jose Medina|sa737197
Blake Taylor|sa737558
Dylan Brooks|sa738457
Chris Murphy|sa827417
Gerardo Vilchez|sa828228
Eumir Sepulveda|sa830158
Ian Kahaloa|sa875035
Alec Kisena|sa875686
Logan Lombana|sa875789
Bradley Simon|sa886544
Trevor Gott|15046
Andrew Tomasovich|sa875302
Tyler Barnette|sa548463
Jorge Lopez|14527
Yimmi Brasoban|sa598120
Nestor Cortes|sa738684
Bubby Rossman|sa829484
Jose Valdespina|sa597109
Jhan Marinez|5830
Josh Martin|sa599246
Joe Mantiply|sa503764
Jose Marrujo|sa546533
Taylor Nunez|sa599722
Paul Demny|sa392068
Jon Olczak|sa875297
Eduardo Del Rosario|sa737089
David Peterson|sa603091
Jake Cose|sa599358
Victor Diaz|sa659749
Yoiber Marquina|sa737061
Bobby Poyner|sa827470
Scott Williams|sa829019
Jeff Ferrell|11506
Jorge Zavala|sa658369
Martires Arias|sa506939
Isaac Gil|sa599350
Ramon Troncoso|4685
Yimauri Pena|sa657903
Kendry Flores|12118
David Aardsma|1902
Kolton Mahoney|sa829372
Cody Ponce|sa856266
Ian Krol|10066
Jairo Heredia|sa392471
Rob Rasmussen|11250
Chad Martin|sa873278
Matt Esparza|sa875700
Steve Johnson|4053
Havid Burgos|sa657791
Luis Madero|sa828288
Ryan Lawlor|sa875198
Sutter Mcloughlin|sa875323
Jimmy Reyes|sa526353
Mitch Lively|sa390254
David Sosebee|sa602907
Eduard Santos|sa505276
Mike Bolsinger|11137
Rob Scahill|9286
DeMarcus Evans|sa875783
Juan De Paula|sa873153
Sandro Cabrera|sa873292
Todd Van Steensel|sa505234
Phil Mccormick|sa598568
Carlos Hernandez|sa657734
Noe Ramirez|12800
Heath Wyatt|sa599387
Michael Mariot|10835
Evan Beal|sa598103
Wes Helsabeck|sa877362
Jhonatan Ramos|sa504204
Brian Clark|sa827463
Fredderi Soto|sa879543
Jae-Hoon Ha|sa502535
Ryan Halstead|sa549980
Estarlin Cordero|sa736966
Evertz Orozco|sa739157
Luis Perez|sa873758
Craig Missigman|sa601196
Wander Cabrera|sa873320
Felix Paulino|sa828972
Nick Lomascolo|sa738940
Emmanuel Ramirez|sa736752
Jeff Francis|4684
Kyle Twomey|sa657948
Yorvin Pantoja|sa873466
Jake Smith|sa602912
Ryan Weber|10160
Jesus Liranzo|sa658076
Cory Rasmus|2413
Alex Colome|6661
Erik Swanson|sa829145
Denny Martinez|sa871672
Seranthony Dominguez|sa657573
Max Foody|sa658196
Josh Fields|5070
Matt Marsh|sa830228
Jesen Dygestile-Therrien|sa549979
Matt Andriese|12022
Mitchell Lambson|sa577012
Shawn Armstrong|12857
Gregori Vasquez|sa873328
Brent Suter|sa621681
